Course #,Sect #,Course Title,Instructor / Teaching Team,Time,"Location: MAC
(unless noted
otherwise)",Credits,Enroll Limits,Waitlist,Notes,Curriculum Category,,
ENGR3290,01,ENGR3290: Affordable Design and Entrepreneurship,"Graeff, Erhardt; Johansen, Elizabeth; Taha, Kofi",T 3:30-6:30pm R 3:30-5:30pm,Weissman Foundry,4,5,25,,DSN Depth,,
ENGR3330,01,ENGR3330: Mechanical Design,"Barrett, Dave; Faas, Daniela",MR 1:00-2:40pm,328,4,25,10,,Core ME,,
ENGR3345,01,ENGR3345: Mechanical and Aerospace Systems,"Lee, Chris",MR 10:20am-12:00pm,328,4,25,10,,ME Elective,,
ENGR3399,SL,ENGR3399: Special Topics in Engineering: Mechanical Analysis,"Fass, Daniela; with student instructors: Godinez, Carlos; Gosbee, Katarina; Takeda, Colin; Weil, Nathan",MR 8:30-10:10am,328,2,20,5,Student Led; 2 credits,Elective,,
ENGR3410,01,ENGR3410: Computer Architecture,"Uttamchandani, Avi",MW 6:00-7:40pm,304,4,30,5,,Core ECE,,
ENGR3420,01,ENGR3420: Introduction to Analog and Digital Communication,"Lohmeyer, Whitney",T 9:20am-12:00pm,304,4,25,5,,Core ECE,,
ENGR3430,01,ENGR3430: Eclectronics,"Minch, Brad",TF 2:50-4:30pm,304,4,20,5,,Elective ECE,,
ENGR3499,01,ENGR3499: Special Topics in Electrical and Computer Engineering: Power Electronics,"Arnet, Beat",MR 10:20am-12:00pm,304,4,20,5,,ECE Elective,,
ENGR3515,01,ENGR3515: Data Structures and Algorithms,"Pucella, Riccardo",T 2:50-5:30pm,113,4,25,10,,Core E:C,,
ENGR3590,01,ENGR3590: A Computational Introduction to Robotics,"Ruvolo, Paul",TF 1:00-2:40pm,126,4,24,10,,Core E:Robo,,
ENGR3599,01,ENGR3599: Special Topics in Computing: Larger-scale Software Development,"Matsumoto, Steve",MR 1:00pm-2:40pm,417,4,40,na,,"E:C; Computing
Elective",,
"ENGR3820_or
_SCI3420",01,ENGR3820_or_SCI3420: Failure Analysis and Prevention,"Stolk, Jon",MR 1:00pm-2:40pm,413,4,21,5,Choose ENGR3820 for ME or ELECTIVE credit; Choose SCI3420 for ADV SCIENCE credit,"ME or ENGR Elective;
or Adv Science",,
ENGR4190,01,ENGR4190: SCOPE: Senior Capstone Program in Engineering,"Bloomer, Sarah; Ferzoco, Alessandra;  Neeley, Lawrence; Stein, Lynn",W 8:30am-5:30pm F 8:30-10:10am,Varies,4,na,na,Registration via CAPSTONE Survey,CAPSTONE-SCOPE,,
ENGR4290,01,ENGR4290: Affordable Design and Entrepreneurship Engineering Capstone,"Graeff, Erhardt; Johansen, Elizabeth; Taha, Kofi",T 3:30-6:30pm R 3:30-5:30pm,Weissman Foundry,4,na,na,Registration via CAPSTONE Survey,CAPSTONE-ADE,,
ENGR4599,01,ENGR4599: Entrepreneurial Engineering Capstone,"Harris, Scott ; Miller, Scott",W 1:00-5:00pm,113,4,na,na,Registration via CAPSTONE Survey,CAPSTONE - EEC,,
ENGX2000,01,ENGX2000: Quantitative Engineering Analysis 1,"Geddes, John; Lohmeyer, Whitney; Shuman, David",MR 2:50-4:30pm,"113
126
128
MH 120 (Thurs only)",4,90,na,,Requirement,,
ENGX2010,01,ENGX2010: Quantitative Engineering Analysis 3,"Geddes, John; Malley, Melinda; Tow, Emily",MR 1:00pm-2:40pm,"113
126
128",4,90,na,,Requirement,,
MTH1111_SCI 1111,01-03,MTH1111_SCI1111: Modeling and Simulation of the Physical World,"del Rosario, Zachary; Matsumoto, Steve; Neely, Andy",TWF 2:50-4:30pm,"MH120 204
206
209
213",4,32 per section,na,,Requirement - ModSim,,
MTH2110,01,MTH2110: Discrete Math,"Spence Adams, Sarah",MR 8:30-10:10am,326,4,27,10,"2 sections; See note about timing of future
offerings in the supplement",Math - Adv ECE; E:C,,
MTH2110,02,MTH2110: Discrete Math,"Spence Adams, Sarah",MR 10:20am-12:00pm,326,4,27,10,"2 sections; See note about timing of future
offerings in the supplement",Math - Adv ECE; E:C,,
MTH2130,01,MTH2130: Probability and Statistics Topic: Probabilistic Modeling (ProbMod),"Shuman, David",MR 8:30-10:10am,318,4,18,18,,ProbStat,,
MTH2136_an d_SCI2136,01,MTH2136_and_SCI2136: Astronomy and Statistics: AstroStats,"Nugent, Carrie",TF 10:20am-12:00pm,MH 120,2+2,30,20,,ProbStat,,
OIE1000,01,OIE1000: Olin First Year Introduction (OFYI),"Waranyuwat, Adva",W 1:00-2:40pm,"MH120 318
326
328
417",1,90,na,,Required First Year,,
SCI1230,01,SCI1230: Think Like a Biologist with Laboratory,"Huang, Jean",MR 9:20am-12:00pm,"417
404
406",4,24,6,,SCI - Bio Foundation,,
SCI1270,01,"SCI1270: Biomes, Climate Change, and Biodiversity (BCB)","Donis-Keller, Helen",TF 10:20am-12:00pm R 2:50-5:30pm (Lab),"313
406",4,20,3,,SCI - Bio Foundation,,
SCI1440,01,"SCI1440 Materials Creation, Consumption, and Impact","Stolk, Jon",MR 9:20am-12:00pm,413,4,21,10,,SCI - MatSci/Chem,,
SCI2299,01,SCI2299: Special Topics in Biological Sciences:  How Your Immune Systems Keeps You Alive,"Pratt, Joanne",TF 1:00-2:40pm,"417
404
406",2,8,4,Experimental Grading,SCI Elective,,
AWAY1000,01,Study Away Program,Administration,na,na,12,na,na,"Enroll in this course number to confirm your Study Away
sesmester",,,
OIP1000,01,The Olin Internship Practicum I,"Alcott, Suzanne",na,na,1,na,na,See Post Graduate Planning to Enroll,,,
OIP1001,01,The Olin Internship Practicum II,"Alcott, Suzanne",na,na,1,na,na,See Post Graduate Planning to Enroll,,,
