Area,Course #,Sec #,Course Title,Instructor,Time,Location,Credits,Enroll Limits,Registration Notes,Curriculum Notes
DSN,ENGR2250,03,ENGR2250: User-Oriented Collaborative Design,"Adler, Jon; Ferguson Sauder, Tim; Linder, Ben; Ben-Ur, Ela; Bloomer, Sarah; Stein, Lynn",MR 9:50-12:30pm,AC209 MH120,4,32,waitlist available,required for all sophomores
DSN,ENGR3210,01,ENGR3210: Sustainable Design,"Linder, Ben",MR 1:30-3:10pm,AC213,4,30,waitlist available,DSN Depth
DSN,ENGR3252,01,"ENGR3252: Technology, Accessibility, and Design","Ruvolo, Paul",M 10:50-12:30pm; R 9- 12:30pm,AC309,4,15,small waitlist available,DSN Depth
DSN,ENGR3290,01,ENGR3290: Affordable Design and Entrepreneurship,"Hersey, Scott; Linder, Ben; et al","T 3:30-6:30pm; R 3:30-
5:30pm",Weissman Foundry,4,15,Register for this course as design depth; waitlist available,DSN Depth
DSN,ENGR3299,01,ENGR3299: Special Topics in Design Engineering: Scientific Instrument Design for the Environment,"Ferzoco, Alessandra",M 9-12:30pm; R 10:50- 12:30pm,AC306,4,24,small waitlist available,DSN Depth
E: BE,ENGR3600,01,ENGR3600: Topics in Bioengineering,"Sarang-Sieminski, Alisha",TF 10:50-12:30pm,AC109,4,12,,Core BioE
E:C,ENGR2510,01,ENGR2510: Software Design,"Hill, Ben; Millner, Amon; Staff",TF 10:50-12:30pm,AC318,4,30,waitlist available,Core ECE; Core E:C
E:C,ENGR2510,02,ENGR2510: Software Design,"Hill, Ben; Millner, Amon; Staff",TF 10:50-12:30pm,AC326,4,30,waitlist available,Core ECE; Core E:C
E:C,ENGR3525,01,ENGR3525: Software Systems,"Downey, Allen",TF 1:30-3:10pm,AC326,4,25,waitlist available,Core E:C
E:C,ENGR3599,01,ENGR3599: Special Topics in Computing: Databases,"Pucella, Riccardo",R 1:30-4:00pm,AC428,4,30,small waitlist available,Elective E:C
E:C,ENGR3599A,SL,ENGR3599A: Special Topics in Computing: Data Structures Algorithms,Student Teaching Team with Paul Ruvolo,"M 4:20-6:00pm; F 3:20-
5:00pm",AC326,4,25,Student Led Course,Elective E:C
E:Robo,ENGR3392,01,ENGR3392: Robotics Systems Integration,"Barrett, Dave",MR 3:20-5:00pm,AC128,4,28,waitlist available,Core E:Robo; Elective ME
ECE,ENGR2410,01,ENGR2410: Signals and Systems,"Dabby, Diana",TF 1:30-3:10pm,AC304,4,34,,Core ECE
ECE,ENGR2420,01,ENGR2420: Intro Microelectronic Circuits with laboratory,"Minch, Brad",TF 9-10:40am; T 3:20-5:00pm LAB,AC309,4,28,small waitlist available,Core ECE
ECE,ENGR3420,01,ENGR3420: Introduction to Analog and Digital Communication,"Govindasamy, Siddhartan",TF 10:50-12:30pm,AC304,4,24,small waitlist available,Core ECE
ECE,ENGR3430,01,ENGR3430: Eclectronics,"Minch, Brad",MR 10:50-12:30pm,AC304,4,24,small waitlist available,Elective ECE
ECE,ENGR3440,01,ENGR3440: Principles of Wireless Communication,"Govindasamy, Siddhartan",TF 9-10:40am,AC304,4,24,small waitlist available,Elective ECE
ENGR,ENGR1330,01,ENGR1330: Fundamentals of Machine Shop Operations,"Andruskiewicz, Bruce",W 1-5:00pm,AC104,4,6,,Elective
ENGR,ENGR2199,01,ENGR2199: Special Topics in Engineering: Temporary Autonomous Infrastructural  Research Group,"Chachra, Debbie",MR 10:50-12:30pm,AC417,4,18,Offered using Experimental Grading,Elective
ENGR,ENGR2199A,01,ENGR2199A: Special Topics in Engineering: Small Satellite Lab II,"Lee, Chris",T 3:20-5:30pm,AC426,2,10,small waitlist available,permission of instructor
ENTRP,AHSE1515,01,AHSE1515: Products and Markets,"Lynch, Caitrin; Pratt,
Joanne; Gamwell, Adam; Woodard, Jason",MR 1:30-4:10pm,AC318 AC326 AC328 MH120,4,90,,Requirement - P&M
ENTRP,AHSE2515,01,AHSE2515: Iterate,"Bowen, Jim",TF 9-10:40am,AC318,2,20,Session I; small waitlist available,see Entrepreneurship concentration in catalog
ENTRP,AHSE2515A,A1,AHSE2515A: Iterate,"Bowen, Jim",TF 9-10:40am,AC318,2,20,"Session II, small waitlist available",see Entrepreneurship concentration in catalog
ENTRP,AHSE3515,01,AHSE3515: Launch,"Bowen, Jim",TF 9-10:40am,AC318,4,15,,see Entrepreneurship concentration in catalog
Interdisciplinary,AHSE2141 / ENGR2141,01,Engineering for Humanity,"Ben-Ur, Ela; Lynch, Caitrin","M 4:30-7:30pm; W 12:30-
3:10pm",AC306,2+2,24,,AHS Elective / ENGR Elective
Interdisciplinary,AHSE2160 / SCI1260,01,"AHSE2160/SCI1260: The Intersection of Biology, Art and Technology","Donis-Keller, Helen",M 1-3:10pm; W 1-6:00pm,AC313 AC406,4+4,16,small waitlist available,AHS Elective / Bio Foundation
Interdisciplinary,CIE2019A,01,CIE2019A: Curriculum Innov Experiment: Quantitative Engineering Analysis I,"Dusek, Jeff; Geddes, John; Somerville, Mark; Tow, Emily","MR 9:00-12:30pm; W 9-
10:50am optional Review Session",AC109 AC113,8,36,"Credit Distribution: 4 MTH, 3 SCI, 1 ENGR Content Distribution: 2 cr Multi-variable Calc; 2cr Linear Algebra, 3 cr Physics, 1 cr Engineering",Experiment-QEA1
Interdisciplinary,CIE2019A,02,CIE2019A: Curriculum Innov Experiment: Quantitative Engineering Analysis I,"Dusek, Jeff; Geddes, John; Somerville, Mark; Tow, Emily","MR 9:00-12:30pm; W 9-
10:50am optional Review Session",AC109 AC113,8,36,"Credit Distribution: 4 MTH, 3 SCI, 1 ENGR Content Distribution: 2 cr Multi-variable Calc; 2cr Linear Algebra, 3 cr Physics, 1 cr Engineering",Experiment-QEA1
Interdisciplinary,ENGR3531 / MTH2131,01,ENGR3531/MTH2131: Data Science,"Downey, Allen",MR 1:30-3:10pm,AC417,2+2,24,small waitlist available,Elective E:C / Probstat Requirement
Interdisciplinary,MTH2188A / SCI2199A,01,MTH2188A / SCI2199A: Astronomy and Statistics,"Nugent, Carrie",MR 10:50-12:30pm,AC318,2+2,18,small waitlist available,"Math - ProbStat Requirement
/ SCI Elective"
ME,ENGR2320,01,ENGR2320: Mechanics of Solids & Structures,"Storey, Brian",TF 9-10:40am,AC326,4,40,waitlist available,Core ME
ME,ENGR2330,01,ENGR2330: Introduction to Mechanical Prototyping,"Faas, Daniela",TF 10:50-12:30pm,AC128,4,40,,Elective
ME,ENGR2350,01,ENGR2350: Thermodynamics,"Ferzoco, Alessandra",TF 1:30-3:10pm,AC328,4,36,waitlist available,Core ME
ME,ENGR3345,01,ENGR3345: Mechanical and Aerospace Systems,"Lee, Chris",MR 9-10:40am,AC328,4,30,small waitlist available,Elective ME
ME,ENGR3370,01,ENGR3370: Controls,"Barragan, Patrick",7-10:00pm,AC304,4,24,,Elective ME; Elective ECE
MTH,MTH2210,01,MTH2210: Linearity I,"Hoffman, Aaron",MWR 9-10:40am,AC326,4,42,,required for non QEA first year students
MTH,MTH3120,01,MTH3120: Partial Differential Equations,"Hoffman, Aaron",TF 10:50-12:30pm,AC417,4,48,,Math - Adv ME
SCI,SCI1130,01,SCI1130: Mechanics,"Zastavker, Yevgeniya",MR 10:50-12:30pm,AC328,4,28,small waitlist available,SCI - Physics Foundation
SCI,SCI1230,01,SCI1230: Think Like a Biologist with Laboratory,"Huang, Jean","TF 1:30-3:10pm; T 3:20-
6:00pm","AC417;
AC406 lab",4,24,small waitlist available,SCI - Bio Foundation
SCI,SCI1399,01,"SCI1399: Special Topics in Chemistry: Paper Panacea, Part 1","Vanasupa, Linda",TW 3:20-6:00pm,AC409,4,21,Offered using Experimental Grading,SCI - MatSci Chem Requirement
SCI,SCI1410,B1,SCI1410: Materials Science and Solid State Chemistry: Environmental and Societal Impacts,"Stolk, Jon",MR 3:20-6:00pm,AC413,4,21,,SCI - MatSci Chem Requirement
E: BE,ENGR3600,01,ENGR3600: Topics in Bioengineering,"Sarang-Sieminski, Alisha",TF 10:50-12:30pm,AC109,4,12,,Advanced Biology
SUST,SUST3301,01,SUST3301: Sustainability Synthesis,"Wood, Alison",M 3:30-6:30pm,AC417,4,8,max enrollment is 20 for all 3 colleges; small waitlist available,BOW Cert; Capstone course to Sustainability Certificate
ADMIN,AWAY1000,01,AWAY1000: The Study Away Program,Administration,n/a,n/a,4,n/a,enroll in this course if you will be studying away in the spring 2019 semester,
ADMIN,OIP1000,01,The Olin Internship Practicum I,Phelps,n/a,n/a,1,n/a,See Post Graduate Planning to Enroll,
ADMIN,OIP1001,01,The Olin Internship Practicum II,Phelps,n/a,n/a,1,n/a,See Post Graduate Planning to Enroll,
