Area,Course #,Sec #,Course Title,Instructor,Time,Location,Credits,Enroll Limits,Registration Notes,Curriculum Notes
AHS,AHSE0112,01,AHSE0112: The Olin Conductorless Orchestra,Dabby,R 6:45-9:00pm,AC318,1,n/a,,
AHS,AHSE2155,01,AHSE2155: Constructing and Performing the Self,"Adler, Jon; Wynstra, Beth (Babson)",TR 1:15-2:50pm,Babson Sorensen Ctr Black Box,4,6,small waitlist available; total of 18 for BOW schools,AHS Elective
AHS,AHSE2199,01,"AHSE2199: Special Topics in Arts, Humanities, Social Sciences: Change the World: Personal Values, Global Impacts, and Making an Olin GCSP","Martello, Rob; Wood, Alison",TF 1:30-3:10pm,AC318,4,30,small waitlist available; Offered using Experimental Grading,AHS Elective
AHS,AHSE2199A,01,"AHSE2199A: Special Topics in Arts, Humanities, Social Sciences: Video Communication","Houston-Edwards, Kelsey",M 1:30-3:10pm,AC428,2,8,small waitlist available; Offered using Experimental Grading,AHS Elective
AHS,AHSE3190,01,AHSE3190: Arts Humanities Social Sciences Capstone Preparatory Workshop,Epstein,n/a,n/a,1,n/a,,required if planning on a Capstone project in Fall 2019
AHS,AHSE4190,01,AHSE4190: Arts Humanities Social Sciences Capstone Project,Epstein,TF 9:10-10:40pm,AC417,4,28,,
CAPSTONE,ENGR4190,01-13,ENGR4190: SCOPE: Senior Capstone Program in Engineering,"Hersey, Scott; Michalka, Sam; Sarang-Sieminski,
Alisha; Stein, Lynn",W 9-6:00pm,varied,4,75,please enroll in the same section you are in for fall 2018,CAPSTONE-SCOPE
CAPSTONE,ENGR4290,01,ENGR4290: Affordable Design and Entrepreneurship Engineering Capstone,"Hersey, Scott; Linder, Ben; et al","T 3:30-6:30pm; R 3:30-
5:30pm",Weissman Foundry,4,15,Register for this course as a capstone; not a design depth,CAPSTONE-ADE
CAPSTONE,ENGR4599,01,ENGR4599: Engineering Capstone Alternative: Entrepreneurial Engineering Ca,"Harris, Scott; Woodard, Jason",W 1-5:30pm,AC304,4,6,enroll by application; see email notice from Jason Woodard,CAPSTONE-EEC
DSN,ENGR2250,01,ENGR2250: User-Oriented Collaborative Design,"Adler, Jon; Ferguson Sauder, Tim; Linder, Ben; Ben-Ur, Ela; Bloomer, Sarah; Stein, Lynn",MR 9:50-12:30pm,AC204 MH120,4,32,waitlist available,required for all sophomores
DSN,ENGR2250,02,ENGR2250: User-Oriented Collaborative Design,"Adler, Jon; Ferguson Sauder, Tim; Linder, Ben; Ben-Ur, Ela; Bloomer, Sarah; Stein, Lynn",MR 9:50-12:30pm,AC206 MH120,4,32,waitlist available,required for all sophomores
