Area,Course #,Section #,Course Title,Instructor / Teaching Team,Time,Location,Credits,Enroll Limits,Waitlist,Notes,Degree Requirement Note
AHS,AHSE0112,01,The Olin Conductorless Orchestra,Dabby,R 6:45-9:00pm,AC304; AC305; AC318,1,30,,,
AHS,AHSE3130,01,Advanced Digital Photography,Donis-Keller,TF 1:30-3:10pm,AC313,4,12,"Y, small",,
AHS,AHSE3190,01,Arts Humanities Social Sciences Capstone Preparatory Workshop,Epstein,n/a,n/a,1,25,,,Prerequisite for AHSE4190
AHS,AHSE4190,01,Arts Humanities Social Sciences Capstone Project,Adler,M 10:50-1pm,AC417,4,15,,,AHS Capstone
,,,,,,,,,,,
Crosslisted,ENGR2999 OR SCI2399,01,Special Topics in Environmental Engineering and Science:  Environmental Analysis & Engineering,Hersey; Wood,MTR 1-3:10pm,AC318; AC409,4,24,"Y, small","Must choose either ENGR2999 for ENGR credit or SCI2399 for SCI credit at time of
registration",If SCI2399 Chosen; will count as Mat Sci/Chem foundation
DSN,ENGR3220,01,User Experience Design,Millner,MR 1:30-3:10pm,AC213,4,35,"Y,
medium","formerly Human Factors Interface Design
(HFID)",Design Depth Option
DSN,ENGR3250,01,Integrated Product Design,Neeley,R 3:30-6:30pm,AC213 when at Olin; also meets at Mass Art and Babson,4,15,"Y, small","Shared course with Mass College of Art and Babson College; Will meet on all campuses
throughout the semester",Design Depth Option
DSN,ENGR3290,01,Affordable Design and Entrepreneurship,Hersey; Govindasamy; Mur-Miranda,T 3:30-6:30pm,AC213,4,15,"Y, small",,Design Depth Option
DSN,ENGR3299,01,Special Topics in Design Engineering: Return Design Studio/Shop Practicum,Sauder,see instructor,,4,6,"Y, small","See instructor to enroll; Offered as
Experimental Grading",Design Depth Option
DSN OR E:BE,ENGR3699,01,Special Topics in Bioengineering: Biomedical Device Design,Sarang- Sieminski,TF 1:30-3:10pm,AC326,4,15,"Y, small",,"Core - BioE OR
Design Depth"
Area,Course #,Section #,Course Title,Instructor / Teaching Team,Time,Location,Credits,Enroll Limits,Waitlist,Notes,Degree Requirement Note
E:C,ENGR2510,01,Software Design,Steele,MR 10:50-12:30pm,AC128,4,25,"Y, small",,Core - E:C and ECE
E:C,ENGR3520,01,Foundations of Computer Science,Pucella,R 4-6:30pm,AC326,4,32,"Y, small",,Core - E:C
E:C,ENGR3540,01,Complexity Science,Downey,TF 9-10:40am,AC326,4,25,"Y, small",formerly Computational Modeling,Elective E:C
E:ROBO,ENGR3390,01,Fundamentals of Robotics,Barrett,TF 1:30-3:10pm,AC128,4,25,"Y, small",,Elective - E:Robo; or ME
ECE,ENGR3410,01,Computer Architecture,Hill,TF 10:50-12:30pm,AC304,4,32,"Y, small",,Core - ECE or E:C
ECE,ENGR3420,01,Introduction to Analog and Digital Communication,Govindasamy,MR 10:50-12:30pm,AC304,4,28,"Y, small",,Core - ECE
ECE,ENGR3430,01,Eclectronics,Minch,MR 3:20-5pm,AC304,4,24,"Y, small",formerly EE Prototyping,Elective - ECE
ENGR,ENGR1330,01,Fundamentals of Machine Shop Operations,Andruskiewicz,W 1-5:00pm,AC104,4,6,"Y, small",,
ENGR,ENGR2110,01,Principles of Engineering,Faas; Hoover; Minch,TF 9-10:40am,AC306,4,25,"Y, small",,Core Requirement
ENGR,ENGR2110,02,Principles of Engineering,Faas; Hoover; Minch,TF 9-10:40am,AC309,4,25,"Y, small",,Core Requirement
