,Course Title,freshman fall,freshman spring,sophomore fall,sophomore spring,junior fall,junior spring,senior fall,senior spring
AHSE2116,AHSE2116: Framing History through Comics,0.0687087931709471,0.06125865039300834,0.06634529340922718,0.06287234826634142,0.06524352861594253,0.06362458676140388,0.06472993192370582,0.0639752489038067
AHSE2131,Responsive Drawing and Visual Thinking,0.03927296802187326,0.26070262847036796,0.039308307419384264,0.26066729471290095,0.039343635537707505,0.26063197223282153,0.039378952380442866,0.26059666102653045
AHSE2135,AHSE2135: Digital Photography: Seeing is Believing,0.8818610664732737,0.1066187723240758,0.7793972915860362,0.19553990996954018,0.7022288608029098,0.2625089891695061,0.6441110848759182,0.3129453385870404
AHSE2141/ENGR2141,Engineering for Humanity,0.017755457753471454,0.11079392837652155,0.02105788491033668,0.10760872181725822,0.024130031650676773,0.10464562180519336,0.026987955579312703,0.10188914070478729
AHSE2150/SCI1250,AHSE2150_and_SCI1250: Six Microbes that Changed the World with Laboratory,0.051789147778688864,0.048625445760224484,0.05140291493330902,0.048964526310609546,0.051105230204977946,0.049225868924867175,0.0508757929664272,0.04942729587769431
AHSE2150_SCI1250,AHSE2150_SCI1250: Six Microbes that Changed the World with Laboratory,0.9999999999992433,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755,1.0000000000003755
AHSE2155,AHSE2155: Constructing and Performing the Self,0.04313535816124657,0.15638337065931557,0.0436548888229025,0.15586622336936257,0.04416966367498397,0.15535381007148064,0.04467972625240896,0.15484608743047035
AHSE2160/SCI1260,"AHSE2160_SCI1260: The Intersection of Biology, Art and Technology with Laboratory",0.08783035921335869,0.43408283417065485,0.10194480734273154,0.4205437397510896,0.11493200145912286,0.4080859485731885,0.12688196999284296,0.3966231020767553
AHSE2170,AHSE2170: Teaching and Learning in Undergraduate Science and Engineering,0.337885928119367,0.1621194782303429,0.3377814724934095,0.1622238717797335,0.3376771409836946,0.16232814128664205,0.33757293344274497,0.1624322868984583
AHSE2199,"AHSE2199: Special Topics in Arts, Humanities, Social Sciences: Personal Values, Global Impacts, and Making an Olin GCSP",0.6865369575942863,0.6260811603635518,0.6642528205957084,0.6401513164948169,0.655368954302353,0.6457605705487106,0.651827283367407,0.6479967739531068
AHSE2199/ENGR2299,Special Topics in AHS or Design Engineering: Tell the Story of What You Make,0.049828132308448826,0.050162413875240994,0.04984444531608687,0.05014689694565401,0.04985920501639167,0.05013285752169026,0.04987255931364457,0.050120154916827045
AHSE2199/SCI1299,"Intersection of Biology, Art and Technology",0.0496066276661963,0.05036641737949399,0.049648953715617054,0.0503264492120348,0.04968669535302256,0.05029081007007256,0.04972034912448346,0.05025903106891865
AHSE2199/SCI1310,"Special Topics in AHS and Science: Chemistry in Context: Environmental Milestones, Opportunities, and the Human
Connection",2.794212085952339e-47,2.7942070877855903e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47
AHSE2199A,Special Topics in Arts Humanities Social Sciences: Constructing and Performing the Self,0.5106408293586517,0.9303849930215549,0.5106846395713827,0.930341187381454,0.5107284406393309,0.9302973908851813,0.5107722325644052,0.9302536035308281
AHSE2199A/SCI1299,"AHSE2199A: Special Topics in Arts, Humanities and Social Science: Agency, Ethics and Biological Sciences",0.4975521171587308,0.3287372312195184,0.3836093516847885,0.3657735453955297,0.3715709518615201,0.36968654466473705,0.3702990582954647,0.3700999649421451
AHSE2199A/SCI2099A,"Special Topics in AHS and Science: Paradigms, Predictions and Joules - Historical and Scientific Approach to Energy and the Environment",-9.306640797682982e-91,-9.306660904774285e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91,-9.306660904787773e-91
AHSE2199B,"AHSE2199B: Special Topics in Arts, Humanities and Social Science: Weaving the Future: New Ideologies of Making",0.8308775981863217,0.7554160961153575,0.8192244534089396,0.7652697036522149,0.8108924895189117,0.7723150037623578,0.8049351600948862,0.7773523724069193
AHSE2199C,"Special Topics in Arts, Humanities and Social Sciences: Virtualities: An Introduction to Video Gaming History and Theory",0.09422703887192686,0.06685366335141184,0.08660487917695951,0.0723534206275747,0.08263653801025875,0.07521677092188425,0.08057049213277212,0.0767075230580663
AHSE2199D/ENGR2299,"Special Topics in Arts Humanites Social Science: Tell The Story of What You Make  OR
S pecial Topics in Engineering Design: Tell The Story of What You Make",0.0496066276661963,0.05036641737949399,0.049648953715617054,0.0503264492120348,0.04968669535302256,0.05029081007007256,0.04972034912448346,0.05025903106891865
AHSE2199D/SCI2099D,"Special Topics in AHS and Science: The Intersection of Art, Biology and Technology",2.794212085952339e-47,2.7942070877855903e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47
AHSE2199E,"Special Topics in Arts, Humanities and Social Sciences: Designing the 21st Century Engineer: Leadership, Values,
Innovation",2.794212085952339e-47,2.7942070877855903e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47
AHSE2199F,"Special Topics in Arts, Humanities and Social Sciences: What's Your Story? Narrative with Purpose",2.794212085952339e-47,2.7942070877855903e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47
AHSE2515,AHSE2515: Iterate,0.9523862030671012,0.904774018509495,0.9047792541183027,0.9047792535425762,0.9047792535426394,0.9047792535426394,0.9047792535426394,0.9047792535426394
AHSE2515A,AHSE2515A: Iterate,0.01846709186488505,-0.12562910673408953,-0.11692118958190928,-0.11744742012696527,-0.1174156193436424,-0.11741754110555731,-0.11741742497103257,-0.1174174319891901
AHSE2599/ENGR3299,AHSE2599_or_ENGR3299: Environmental Consulting at Olin,0.050620886565060266,0.04943982764643093,0.050533590390180204,0.04952067145722611,0.05045872202678551,0.04959000603933285,0.05039451220493362,0.04964946988979501
AHSE2599A,Special Topics in Entrepreneurship: Iterate   (Offered in both Session I and II),0.0496066276661963,0.05036641737949399,0.049648953715617054,0.0503264492120348,0.04968669535302256,0.05029081007007256,0.04972034912448346,0.05025903106891865
AHSE2599B,Special Topics in Entrepreneurship: Iterate   (Offered in both Session I and II),0.0496066276661963,0.05036641737949399,0.049648953715617054,0.0503264492120348,0.04968669535302256,0.05029081007007256,0.04972034912448346,0.05025903106891865
AHSE3100,Issues in Leadership and Ethics,-3.142937641546597e-67,-3.143060890390503e-67,-3.143060893251072e-67,-3.143060893251139e-67,-3.143060893251139e-67,-3.143060893251139e-67,-3.143060893251139e-67,-3.143060893251139e-67
AHSE3130,Advanced Digital Photography,0.2339185681091153,0.019533978829199106,0.2335687296754833,0.01988324638723757,0.2332200320614685,0.02023137498727845,0.23287247154686955,0.020578368343452308
AHSE3190,AHSE3190: Arts Humanities Social Sciences Capstone Preparatory Workshop,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AHSE3510,New Technology Ventures,2.397269430824613e-72,2.397326133167636e-72,2.3973261346022997e-72,2.397326134602336e-72,2.397326134602336e-72,2.397326134602336e-72,2.397326134602336e-72,2.397326134602336e-72
AHSE3515,Launch,0.10700100278269019,0.19616357898305098,0.1181743388626903,0.18639042047167664,0.12672278192433026,0.17891321863431237,0.1332629842645162,0.17319259645760096
AHSE3599,Special Topics in Entrepreneurship: Launch!,0.10412657750865341,-0.003182486093397968,0.06031214167955025,0.02274245631750057,0.04497238832451628,0.0318189676271016,0.039601828860711064,0.03499672039690844
AHSE4190,AHSE4190: AHS Capstone Project,1.00000011179658,1.0000000745325452,1.000000074532544,1.000000074532544,1.000000074532544,1.000000074532544,1.000000074532544,1.000000074532544
AHSE4590,Entrepreneurship Capstone,-1.4717242164027396e-07,-1.342538656846377e-07,-1.4325730031564995e-07,-1.3698246314086924e-07,-1.4135563662228574e-07,-1.3830780513823883e-07,-1.4043195520789001e-07,-1.3895155396457452e-07
AWAY1000,Study Away Program,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CIE2016A,Currriculum Innovation Experiment: Quantitative Engineering Analysis I,2.794212085952339e-47,2.7942070877855903e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47,2.7942070877844725e-47
CIE2016B,Qualitative Engineering Analysis II,-6.247724695735538e-53,-5.622950032444422e-53,-5.622949892745621e-53,-5.622949892745589e-53,-5.622949892745589e-53,-5.622949892745589e-53,-5.622949892745589e-53,-5.622949892745589e-53
CIE2017A,Curriculum Innovation Experiment: Quantitative Engineering Analysis I,0.0496066276661963,0.05036641737949399,0.049648953715617054,0.0503264492120348,0.04968669535302256,0.05029081007007256,0.04972034912448346,0.05025903106891865
CIE2017B,Curriculum Innov Experiment: Quantitative Engineering Analysis II,0.04950561043567073,0.05044578875699468,0.049566082477272594,0.050389206262442095,0.04961902559949877,0.050339668428996974,0.049665377171511337,0.0502962981788544
CIE2018A,Curriculum Innov Experiment: Quantitative Engineering Analysis I,0.049828132308448826,0.050162413875240994,0.04984444531608687,0.05014689694565401,0.04985920501639167,0.05013285752169026,0.04987255931364457,0.050120154916827045
CIE2018B,Curriculum Innov Experiment: Quantitative Engineering Analysis II,0.05000666781522458,0.049986959998779945,0.050005550367143846,0.049988014086710324,0.050004556046795434,0.049988952028343824,0.05000367128716113,0.049989786621438465
CIE2019A,CIE2019A: Curriculum Innov Experiment: Quantitative Engineering Analysis I,0.05019192004669541,0.04981890530028087,0.05017258585106257,0.04983723736094623,0.05015520398244905,0.04985371828810512,0.05013957729891716,0.04986853500538393
CIE2019B,CIE2019B: Curriculum Innovation Prototype: Quantitative Engineering Analysis II,0.05020350630851005,0.049806468550517326,0.05018322612237119,0.0498257128504173,0.05016496479695218,0.049843041410447674,0.05014852135783502,0.04985864493950755
CIE2122P,CIE2122P: Social Technology Enterprise with Purpose (STEP),0.14507539694146177,0.16063684793767874,0.16953536954756973,0.17462382093047396,0.1775335556719618,0.17919743248412248,0.1801488889885839,0.18069296140624466
